PWM	APlus	AMinus	Domain
ABL2-1_1--1--470	0.71	0.44	ABL2-1/1
ABL2-1_1--2--565	0.87	0.11	ABL2-1/1
AC093799.1-1_1--0--56	0.60	0.47	AC093799.1-1/1
AHI1-1_1--0--143	0.81	0.39	AHI1-1/1
AMPH-1_1--1--1078	0.79	0.28	AMPH-1/1
ARHGAP10-1_1-SV2_2--1--239	0.66	0.32	ARHGAP10-1/1-SV2/2
ARHGAP10-1_1-SV2_2--2--49	0.24	0.41	ARHGAP10-1/1-SV2/2
ARHGAP12-1_1--2--88	0.61	0.32	ARHGAP12-1/1
ARHGAP12-1_1--3--361	0.81	0.48	ARHGAP12-1/1
ARHGAP26-1_1--1--900	0.85	0.32	ARHGAP26-1/1
ARHGAP27-1_1--1--98	0.46	0.36	ARHGAP27-1/1
ARHGAP32-1_1--2--103	0.79	0.35	ARHGAP32-1/1
ARHGAP4-1_1--1--53	0.80	0.36	ARHGAP4-1/1
ARHGAP4-1_1--2--76	0.75	0.43	ARHGAP4-1/1
ARHGAP42-1_1--1--292	0.49	0.28	ARHGAP42-1/1
ARHGAP9-1_1--2--140	0.61	0.35	ARHGAP9-1/1
ARHGEF7-1_1--1--970	0.90	0.45	ARHGEF7-1/1
ASAP1-1_1--3--4770	0.96	0.33	ASAP1-1/1
ASAP2-1_1--1--89	0.60	0.28	ASAP2-1/1
ASAP2-1_1--3--1120	0.75	0.32	ASAP2-1/1
BAIAP2-1_1--0--196	0.91	0.27	BAIAP2-1/1
BAIAP2L2-1_1--2--38	0.53	0.16	BAIAP2L2-1/1
BCAR1-1_1--1--183	0.87	0.45	BCAR1-1/1
BIN1-1_1--1--313	0.84	0.40	BIN1-1/1
BLK-1_1--3--1154	0.78	0.47	BLK-1/1
BTK-1_1--1--146	0.90	0.44	BTK-1/1
BZRAP1-1_3--1--498	0.89	0.44	BZRAP1-1/3
BZRAP1-2_3--0--475	0.97	0.29	BZRAP1-2/3
BZRAP1-3_3--0--165	0.92	0.46	BZRAP1-3/3
CD2AP-1_3--2--2289	0.90	0.43	CD2AP-1/3
